logAge,Mass,Umag,Bmag,Vmag,Rmag,Imag,B-V,V-I
7.0,1.681,2.519,2.504,2.161,1.947,1.765,0.34299999999999997,0.39600000000000013
7.0,1.694,2.473,2.456,2.139,1.943,1.776,0.31700000000000017,0.36299999999999977
7.0,1.699,2.471,2.454,2.144,1.952,1.789,0.31000000000000005,0.3550000000000002
7.0,1.714,2.487,2.469,2.173,1.992,1.838,0.2959999999999998,0.33499999999999996
7.0,1.724,2.516,2.5,2.21,2.033,1.882,0.29000000000000004,0.32800000000000007
7.0,1.735,2.571,2.558,2.267,2.089,1.939,0.2909999999999999,0.32799999999999985
7.0,1.745,2.628,2.619,2.324,2.144,1.991,0.2950000000000004,0.33299999999999974
7.0,1.749,2.65,2.643,2.346,2.165,2.01,0.2969999999999997,0.3360000000000003
7.0,1.754,2.678,2.673,2.373,2.19,2.034,0.2999999999999998,0.3390000000000004
7.0,1.768,2.73,2.729,2.424,2.236,2.077,0.30500000000000016,0.347
7.0,1.774,2.738,2.737,2.431,2.243,2.083,0.30600000000000005,0.34799999999999986
7.0,1.786,2.764,2.766,2.457,2.267,2.105,0.30900000000000016,0.35199999999999987
7.0,1.799,2.762,2.764,2.455,2.266,2.104,0.3089999999999997,0.351
7.0,1.806,2.756,2.758,2.451,2.262,2.1,0.30699999999999994,0.351
7.0,1.824,2.679,2.675,2.382,2.203,2.051,0.2929999999999997,0.33099999999999996
7.0,1.849,2.569,2.558,2.285,2.12,1.982,0.2729999999999997,0.30300000000000016
7.0,1.874,2.454,2.433,2.183,2.036,1.913,0.25,0.2699999999999998
7.0,1.899,2.339,2.308,2.082,1.954,1.847,0.22599999999999998,0.23499999999999988
7.0,1.906,2.31,2.276,2.057,1.933,1.831,0.21899999999999986,0.22599999999999998
7.0,1.924,2.221,2.178,1.983,1.876,1.789,0.19499999999999984,0.19400000000000017
7.0,1.938,2.149,2.1,1.924,1.831,1.755,0.17600000000000016,0.16900000000000004
7.0,1.947,2.096,2.044,1.884,1.8,1.733,0.16000000000000014,0.1509999999999998
7.0,1.96,2.028,1.972,1.831,1.761,1.704,0.14100000000000001,0.127
7.0,1.973,1.951,1.894,1.776,1.72,1.675,0.11799999999999988,0.10099999999999998
7.0,1.984,1.887,1.835,1.734,1.689,1.653,0.10099999999999998,0.08099999999999996
7.0,1.994,1.826,1.782,1.698,1.662,1.635,0.08400000000000007,0.06299999999999994
7.0,1.995,1.821,1.778,1.695,1.66,1.634,0.08299999999999996,0.061000000000000165
7.0,2.025,1.783,1.749,1.679,1.652,1.632,0.07000000000000006,0.04700000000000015
7.0,2.039,1.784,1.751,1.68,1.652,1.632,0.07099999999999995,0.04800000000000004
7.0,2.085,1.623,1.641,1.614,1.611,1.613,0.026999999999999913,0.001000000000000112
7.0,2.095,1.613,1.634,1.611,1.608,1.612,0.02299999999999991,-0.001000000000000112
7.0,2.13,1.575,1.608,1.592,1.593,1.601,0.016000000000000014,-0.008999999999999897
7.0,2.176,1.522,1.57,1.563,1.568,1.58,0.007000000000000117,-0.017000000000000126
7.0,2.189,1.503,1.555,1.55,1.557,1.57,0.004999999999999893,-0.020000000000000018
7.0,2.222,1.439,1.504,1.507,1.517,1.533,-0.0029999999999998916,-0.026000000000000023
7.0,2.268,1.352,1.435,1.449,1.463,1.483,-0.014000000000000012,-0.03400000000000003
7.0,2.36,1.188,1.308,1.339,1.36,1.388,-0.030999999999999917,-0.04899999999999993
7.0,2.543,0.887,1.079,1.136,1.167,1.207,-0.05699999999999994,-0.07100000000000017
7.0,2.727,0.612,0.873,0.949,0.987,1.036,-0.07599999999999996,-0.08700000000000008
7.0,2.911,0.362,0.686,0.776,0.818,0.875,-0.08999999999999997,-0.09899999999999998
7.0,2.979,0.275,0.62,0.715,0.758,0.817,-0.09499999999999997,-0.10199999999999998
7.0,3.094,0.133,0.514,0.615,0.661,0.724,-0.10099999999999998,-0.10899999999999999
7.0,3.277,-0.076,0.353,0.464,0.514,0.582,-0.11100000000000004,-0.11799999999999994
7.0,3.46,-0.267,0.204,0.324,0.377,0.45,-0.12000000000000002,-0.126
7.0,3.643,-0.446,0.062,0.19,0.246,0.324,-0.128,-0.134
7.0,3.828,-0.612,-0.071,0.064,0.124,0.206,-0.135,-0.142
7.0,4.014,-0.767,-0.197,-0.055,0.008,0.094,-0.14200000000000002,-0.149
7.0,4.195,-0.914,-0.317,-0.169,-0.103,-0.013,-0.148,-0.156
7.0,4.377,-1.052,-0.431,-0.277,-0.208,-0.115,-0.15399999999999997,-0.16200000000000003
7.0,4.561,-1.184,-0.541,-0.382,-0.31,-0.214,-0.15900000000000003,-0.168
7.0,4.745,-1.31,-0.647,-0.482,-0.408,-0.309,-0.16500000000000004,-0.173
7.0,4.929,-1.43,-0.749,-0.579,-0.502,-0.4,-0.17000000000000004,-0.17899999999999994
7.0,5.114,-1.546,-0.847,-0.672,-0.593,-0.488,-0.17499999999999993,-0.18400000000000005
7.0,5.298,-1.658,-0.942,-0.763,-0.682,-0.573,-0.17899999999999994,-0.19000000000000006
7.0,5.482,-1.766,-1.034,-0.851,-0.768,-0.657,-0.18300000000000005,-0.19399999999999995
7.0,5.666,-1.87,-1.124,-0.937,-0.851,-0.737,-0.18700000000000006,-0.20000000000000007
7.0,5.85,-1.972,-1.211,-1.02,-0.932,-0.816,-0.19100000000000006,-0.20400000000000007
7.0,5.945,-2.023,-1.255,-1.062,-0.973,-0.856,-0.19299999999999984,-0.20600000000000007
7.0,6.033,-2.07,-1.295,-1.101,-1.011,-0.892,-0.19399999999999995,-0.20899999999999996
7.0,6.231,-2.172,-1.384,-1.186,-1.094,-0.973,-0.19799999999999995,-0.21299999999999997
7.0,6.43,-2.272,-1.47,-1.269,-1.176,-1.052,-0.20100000000000007,-0.21699999999999986
7.0,6.488,-2.301,-1.495,-1.293,-1.199,-1.075,-0.20200000000000018,-0.21799999999999997
7.0,7.024,-2.555,-1.717,-1.507,-1.408,-1.278,-0.2100000000000002,-0.22899999999999987
7.0,7.312,-2.682,-1.828,-1.614,-1.514,-1.381,-0.21399999999999997,-0.2330000000000001
7.0,7.95,-2.953,-2.067,-1.846,-1.741,-1.603,-0.22100000000000009,-0.2430000000000001
7.0,8.025,-2.985,-2.095,-1.873,-1.768,-1.629,-0.2220000000000002,-0.244
7.0,8.502,-3.176,-2.265,-2.039,-1.931,-1.789,-0.22599999999999998,-0.2500000000000002
7.0,9.015,-3.376,-2.444,-2.214,-2.103,-1.958,-0.22999999999999998,-0.256
7.0,9.056,-3.391,-2.458,-2.227,-2.116,-1.97,-0.23100000000000032,-0.2569999999999999
7.0,9.613,-3.595,-2.642,-2.407,-2.294,-2.145,-0.23499999999999988,-0.262
7.0,10.014,-3.739,-2.773,-2.535,-2.421,-2.27,-0.238,-0.2650000000000001
